,product_id,address,price,area,bedrooms_num,bathrooms_num
26350,40359220,"Quận 1, Hồ Chí Minh",190000000000.0,430.0,0,0
26351,36520252,"Quận 3, Hồ Chí Minh",11500000000.0,44.0,2,2
26352,41722422,"Lê Chân, Hải Phòng",5500000000.0,50.0,4,3
26353,35458222,"Quận 1, Hồ Chí Minh",49500000000.0,100.0,10,11
26354,41628818,"Ba Đình, Hà Nội",6500000000.0,40.0,3,3
26357,39986755,"Diên Khánh, Khánh Hòa",750000000.0,126.6,0,0
26358,35458098,"Quận 1, Hồ Chí Minh",99000000000.0,144.0,6,4
26359,42113313,"Hoàng Mai, Hà Nội",4500000000.0,32.0,4,4
26360,39985482,"Ngô Quyền, Hải Phòng",20000000000.0,64.0,6,6
26361,39985482,"Ngô Quyền, Hải Phòng",20000000000.0,64.0,6,6
26363,41581989,"Thủ Đức, Hồ Chí Minh",4000000000.0,80.0,2,2
26364,41770234,"Bình Chánh, Hồ Chí Minh",6000000000.0,180.0,5,3
26365,41098574,"Nha Trang, Khánh Hòa",4740000000.0,128.0,0,0
26366,42113396,"Quận 1, Hồ Chí Minh",45000000000.0,108.0,3,2
26367,41577240,"Phú Nhuận, Hồ Chí Minh",60000000000.0,225.0,2,2
26368,42112866,"Ngũ Hành Sơn, Đà Nẵng",6200000000.0,78.0,2,2
26369,42113395,"Gia Lâm, Hà Nội",3000000000.0,64.0,2,2
26370,41791936,"Hải An, Hải Phòng",14000000000.0,135.0,3,3
26371,42109061,"Thanh Xuân, Hà Nội",14300000000.0,175.0,4,0
26372,42113392,"Mỹ Tho, Tiền Giang",870000000.0,52.0,2,1
26373,35457332,"Quận 1, Hồ Chí Minh",370000000000.0,225.0,68,70
26374,40924232,"Quận 1, Hồ Chí Minh",28000000000.0,86.0,0,0
26375,42113258,"Cầu Giấy, Hà Nội",8199999999.999999,35.0,3,3
26376,42113256,"Liên Chiểu, Đà Nẵng",2900000000.0,63.3,2,2
26377,42070409,"Quận 12, Hồ Chí Minh",3500000000.0,51.0,0,0
26378,41532607,"Long Biên, Hà Nội",17000000000.0,70.0,0,0
26379,41710577,"Long Biên, Hà Nội",3410000000.0,55.0,0,0
26380,42058633,"Long Biên, Hà Nội",8500000000.0,40.0,0,0
26381,42024393,"Điện Bàn, Quảng Nam",1520000000.0,80.0,0,0
26382,39742579,"Diên Khánh, Khánh Hòa",7250000000.0,289.98,0,0
26383,41519430,"Hoàng Mai, Hà Nội",12000000000.0,41.0,3,5
26384,42113249,"Dĩ An, Bình Dương",5600000000.0,135.0,3,3
26385,39929730,"Vũng Tàu, Bà Rịa Vũng Tàu",32000000000.0,141.0,0,0
26386,42113245,"Tây Hồ, Hà Nội",6500000000.0,40.0,3,4
26387,42113244,"Quận 7, Hồ Chí Minh",11200000000.0,148.0,3,3
26389,41247825,"Quận 7, Hồ Chí Minh",50000000000.0,200.0,4,6
26390,42113243,"Phú Nhuận, Hồ Chí Minh",8300000000.000001,48.0,4,4
